Resource Group,Tag Key,Tag Value
azureblog-dr-westus-RG,ringValue,r1
azureblog-dr-westus-RG,Environment,Prod
azureblog-dr-westus-RG,Project,ACOM-Blogs
azureblog-dr-westus-RG,ow-workitem,WebDevelopment#278002
DefaultResourceGroup-WUS,Environment,
DefaultResourceGroup-WUS,ow-workitem,
DefaultResourceGroup-WUS,Project,
DefaultResourceGroup-WUS,ringValue,r1
NetworkWatcherRG,ringValue,r1
NetworkWatcherRG,Environment,Default
NetworkWatcherRG,Project,ACOM-Blogs
NetworkWatcherRG,ow-workitem,Unknown
DefaultResourceGroup-EUS,Environment,
DefaultResourceGroup-EUS,ow-workitem,
DefaultResourceGroup-EUS,Project,
DefaultResourceGroup-EUS,ringValue,r1
azureblog-common-RG,ringValue,r1
azureblog-common-RG,Environment,Prod
azureblog-common-RG,Project,ACOM-Blogs
azureblog-common-RG,ow-workitem,WebDevelopment#278002
azureblog-staging-eastus-RG,ringValue,r1
azureblog-staging-eastus-RG,Environment,Stage
azureblog-staging-eastus-RG,Project,ACOM-Blogs
azureblog-staging-eastus-RG,ow-workitem,WebDevelopment#278002
azureblog-preprod-eastus-RG,ringValue,r1
azureblog-preprod-eastus-RG,Environment,Pre-prod
azureblog-preprod-eastus-RG,Project,ACOM-Blogs
azureblog-preprod-eastus-RG,ow-workitem,WebDevelopment#278002
azureblog-prod-eastus-RG,ringValue,r1
azureblog-prod-eastus-RG,Environment,Prod
azureblog-prod-eastus-RG,Project,ACOM-Blogs
azureblog-prod-eastus-RG,ow-workitem,WebDevelopment#278002
Fim-DataCollectionRules,Environment,
Fim-DataCollectionRules,ow-workitem,
Fim-DataCollectionRules,Project,
Fim-DataCollectionRules,ringValue,r1
AzureBackupRG_westus_1,Environment,
AzureBackupRG_westus_1,ow-workitem,
AzureBackupRG_westus_1,Project,
AzureBackupRG_westus_1,ringValue,r1
blogsites-common-RG,Environment,
blogsites-common-RG,ow-workitem,
blogsites-common-RG,Project,
blogsites-common-RG,ringValue,r1
dashboards,Environment,
dashboards,ow-workitem,
dashboards,Project,
dashboards,ringValue,r1
AzureBackupRG_eastus_1,Environment,
AzureBackupRG_eastus_1,ow-workitem,
AzureBackupRG_eastus_1,Project,
AzureBackupRG_eastus_1,ringValue,r1
azure-staging-redesign-RG,Environment,
azure-staging-redesign-RG,ow-workitem,
azure-staging-redesign-RG,Project,
azure-staging-redesign-RG,ringValue,r1
azure-preprod-redesign-RG,Environment,
azure-preprod-redesign-RG,ow-workitem,
azure-preprod-redesign-RG,Project,
azure-preprod-redesign-RG,ringValue,r1
azure-prod-redesign-RG,Status,InUse
azure-prod-redesign-RG,Environment,
azure-prod-redesign-RG,ow-workitem,
azure-prod-redesign-RG,Project,
azure-prod-redesign-RG,ringValue,r1
